REF_DATE,GEO,DGUID,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1946-07,Alberta,2016A000248,Deaths,Number,223,units,0,v91,10.2,1489,,,,0
1946-07,Alberta,2016A000248,Marriages,Number,223,units,0,v106,10.3,2603,,,t,0
1946-07,British Columbia,2016A000259,Births,Number,223,units,0,v64,11.1,6029,,,,0
1946-07,British Columbia,2016A000259,Deaths,Number,223,units,0,v79,11.2,2326,,,,0
1946-07,British Columbia,2016A000259,Marriages,Number,223,units,0,v94,11.3,3270,,,t,0
1946-07,Yukon,2016A000260,Births,Number,223,units,0,v65,12.1,43,,,,0
1946-07,Yukon,2016A000260,Deaths,Number,223,units,0,v80,12.2,14,,,,0
1946-07,Yukon,2016A000260,Marriages,Number,223,units,0,v95,12.3,16,,,t,0
1946-07,Northwest Territories including Nunavut,,Births,Number,223,units,0,v66,13.1,134,,,t,0
1946-07,Northwest Territories including Nunavut,,Deaths,Number,223,units,0,v81,13.2,66,,,t,0
1946-07,Northwest Territories including Nunavut,,Marriages,Number,223,units,0,v96,13.3,83,,,t,0
1946-10,Canada,2016A000011124,Births,Number,223,units,0,v62,1.1,83203,,,,0
1946-10,Canada,2016A000011124,Deaths,Number,223,units,0,v77,1.2,28770,,,,0
1946-10,Canada,2016A000011124,Marriages,Number,223,units,0,v92,1.3,32946,,,t,0
1946-10,Prince Edward Island,2016A000211,Births,Number,223,units,0,v69,3.1,670,,,,0
1946-10,Prince Edward Island,2016A000211,Deaths,Number,223,units,0,v84,3.2,201,,,,0
1946-10,Prince Edward Island,2016A000211,Marriages,Number,223,units,0,v99,3.3,232,,,t,0
1946-10,Nova Scotia,2016A000212,Births,Number,223,units,0,v70,4.1,4617,,,,0
1946-10,Nova Scotia,2016A000212,Deaths,Number,223,units,0,v85,4.2,1503,,,,0
1946-10,Nova Scotia,2016A000212,Marriages,Number,223,units,0,v100,4.3,1630,,,t,0
1946-10,New Brunswick,2016A000213,Births,Number,223,units,0,v71,5.1,4057,,,,0
1946-10,New Brunswick,2016A000213,Deaths,Number,223,units,0,v86,5.2,1236,,,,0
1946-10,New Brunswick,2016A000213,Marriages,Number,223,units,0,v101,5.3,1463,,,t,0
1946-10,Quebec,2016A000224,Births,Number,223,units,0,v72,6.1,25858,,,,0
1946-10,Quebec,2016A000224,Deaths,Number,223,units,0,v87,6.2,8015,,,,0
1946-10,Quebec,2016A000224,Marriages,Number,223,units,0,v102,6.3,7751,,,t,0
1946-10,Ontario,2016A000235,Births,Number,223,units,0,v73,7.1,26017,,,,0
1946-10,Ontario,2016A000235,Deaths,Number,223,units,0,v88,7.2,10040,,,,0
1946-10,Ontario,2016A000235,Marriages,Number,223,units,0,v103,7.3,11155,,,t,0
1946-10,Manitoba,2016A000246,Births,Number,223,units,0,v74,8.1,4802,,,,0
1946-10,Manitoba,2016A000246,Deaths,Number,223,units,0,v89,8.2,1671,,,,0
1946-10,Manitoba,2016A000246,Marriages,Number,223,units,0,v104,8.3,2024,,,t,0
1946-10,Saskatchewan,2016A000247,Births,Number,223,units,0,v75,9.1,5334,,,,0
1946-10,Saskatchewan,2016A000247,Deaths,Number,223,units,0,v90,9.2,1588,,,,0
1946-10,Saskatchewan,2016A000247,Marriages,Number,223,units,0,v105,9.3,2872,,,t,0
1946-10,Alberta,2016A000248,Births,Number,223,units,0,v76,10.1,5629,,,,0
1946-10,Alberta,2016A000248,Deaths,Number,223,units,0,v91,10.2,1728,,,,0
1946-10,Alberta,2016A000248,Marriages,Number,223,units,0,v106,10.3,2689,,,t,0
1946-10,British Columbia,2016A000259,Births,Number,223,units,0,v64,11.1,6027,,,,0
1946-10,British Columbia,2016A000259,Deaths,Number,223,units,0,v79,11.2,2690,,,,0
1946-10,British Columbia,2016A000259,Marriages,Number,223,units,0,v94,11.3,3088,,,t,0
1946-10,Yukon,2016A000260,Births,Number,223,units,0,v65,12.1,43,,,,0
1946-10,Yukon,2016A000260,Deaths,Number,223,units,0,v80,12.2,21,,,,0
1946-10,Yukon,2016A000260,Marriages,Number,223,units,0,v95,12.3,18,,,t,0
1946-10,Northwest Territories including Nunavut,,Births,Number,223,units,0,v66,13.1,149,,,t,0
1946-10,Northwest Territories including Nunavut,,Deaths,Number,223,units,0,v81,13.2,77,,,t,0
1946-10,Northwest Territories including Nunavut,,Marriages,Number,223,units,0,v96,13.3,24,,,t,0
