ref_date,region,population,percent_of_total_pop
"1958-04-01 00:00:00","Newfoundland and Labrador",430000,2.53
"1958-04-01 00:00:00","Prince Edward Island",100000,0.59
"1958-04-01 00:00:00","Nova Scotia",707000,4.16
"1958-04-01 00:00:00","New Brunswick",569000,3.35
"1958-04-01 00:00:00",Quebec,4879000,28.71
"1958-04-01 00:00:00",Ontario,5789000,34.06
"1958-04-01 00:00:00",Manitoba,872000,5.13
"1958-04-01 00:00:00",Saskatchewan,888000,5.22
"1958-04-01 00:00:00",Alberta,1198000,7.05
"1958-04-01 00:00:00","British Columbia",1532000,9.01
"1958-04-01 00:00:00",Yukon,13000,0.08
"1958-04-01 00:00:00","Northwest Territories including Nunavut",20000,0.12
"1958-07-01 00:00:00",Canada,17120000,100.00
"1958-07-01 00:00:00","Newfoundland and Labrador",433000,2.53
"1958-07-01 00:00:00","Prince Edward Island",100000,0.58
"1958-07-01 00:00:00","Nova Scotia",710000,4.15
"1958-07-01 00:00:00","New Brunswick",572000,3.34
"1958-07-01 00:00:00",Quebec,4915000,28.71
"1958-07-01 00:00:00",Ontario,5835000,34.08
"1958-07-01 00:00:00",Manitoba,877000,5.12
"1958-07-01 00:00:00",Saskatchewan,894000,5.22
"1958-07-01 00:00:00",Alberta,1211000,7.07
"1958-07-01 00:00:00","British Columbia",1540000,9.00
"1958-07-01 00:00:00",Yukon,13000,0.08
"1958-07-01 00:00:00","Northwest Territories including Nunavut",20000,0.12
"1958-10-01 00:00:00",Canada,17225000,100.00
"1958-10-01 00:00:00","Newfoundland and Labrador",435000,2.53
"1958-10-01 00:00:00","Prince Edward Island",101000,0.59
"1958-10-01 00:00:00","Nova Scotia",713000,4.14
"1958-10-01 00:00:00","New Brunswick",574000,3.33
"1958-10-01 00:00:00",Quebec,4947000,28.72
"1958-10-01 00:00:00",Ontario,5874000,34.10
"1958-10-01 00:00:00",Manitoba,881000,5.11
"1958-10-01 00:00:00",Saskatchewan,898000,5.21
"1958-10-01 00:00:00",Alberta,1221000,7.09
"1958-10-01 00:00:00","British Columbia",1548000,8.99
"1958-10-01 00:00:00",Yukon,13000,0.08
"1958-10-01 00:00:00","Northwest Territories including Nunavut",20000,0.12
"1959-01-01 00:00:00",Canada,17318000,100.00
"1959-01-01 00:00:00","Newfoundland and Labrador",437000,2.52
"1959-01-01 00:00:00","Prince Edward Island",101000,0.58
"1959-01-01 00:00:00","Nova Scotia",716000,4.13
"1959-01-01 00:00:00","New Brunswick",577000,3.33
"1959-01-01 00:00:00",Quebec,4974000,28.72
"1959-01-01 00:00:00",Ontario,5907000,34.11
"1959-01-01 00:00:00",Manitoba,883000,5.10
"1959-01-01 00:00:00",Saskatchewan,900000,5.20
"1959-01-01 00:00:00",Alberta,1233000,7.12
"1959-01-01 00:00:00","British Columbia",1556000,8.98
"1959-01-01 00:00:00",Yukon,13000,0.08
"1959-01-01 00:00:00","Northwest Territories including Nunavut",21000,0.12
"1959-04-01 00:00:00",Canada,17406000,100.00
"1959-04-01 00:00:00","Newfoundland and Labrador",439000,2.52
"1959-04-01 00:00:00","Prince Edward Island",101000,0.58
"1959-04-01 00:00:00","Nova Scotia",718000,4.13
"1959-04-01 00:00:00","New Brunswick",580000,3.33
"1959-04-01 00:00:00",Quebec,5002000,28.74
"1959-04-01 00:00:00",Ontario,5938000,34.11
"1959-04-01 00:00:00",Manitoba,888000,5.10
"1959-04-01 00:00:00",Saskatchewan,903000,5.19
"1959-04-01 00:00:00",Alberta,1241000,7.13
"1959-04-01 00:00:00","British Columbia",1562000,8.97
"1959-04-01 00:00:00",Yukon,13000,0.07
"1959-04-01 00:00:00","Northwest Territories including Nunavut",21000,0.12
"1959-07-01 00:00:00",Canada,17522000,100.00
"1959-07-01 00:00:00","Newfoundland and Labrador",441000,2.52
"1959-07-01 00:00:00","Prince Edward Island",102000,0.58
"1959-07-01 00:00:00","Nova Scotia",720000,4.11
"1959-07-01 00:00:00","New Brunswick",583000,3.33
"1959-07-01 00:00:00",Quebec,5035000,28.74
"1959-07-01 00:00:00",Ontario,5985000,34.16
"1959-07-01 00:00:00",Manitoba,892000,5.09
"1959-07-01 00:00:00",Saskatchewan,908000,5.18
