region,country_of_origin,total_num,num_men,num_women,total_percent,percent_men,percent_women
"Prince Edward Island","    Korea, South",40,15,30,0.3,0.3,0.5
"Prince Edward Island","    Taiwan",155,65,90,1.3,1.1,1.5
"Prince Edward Island","    Philippines",1015,390,620,8.6,6.8,10.3
"Prince Edward Island","    Viet Nam",525,265,260,4.5,4.6,4.3
"Prince Edward Island","    Bangladesh",90,55,35,0.8,1,0.6
"Prince Edward Island","    India",835,475,360,7.1,8.3,6
"Prince Edward Island","    Pakistan",85,45,35,0.7,0.8,0.6
"Prince Edward Island","    Sri Lanka",70,35,30,0.6,0.6,0.5
"Prince Edward Island","    Other places of birth in Asia",530,225,305,4.5,3.9,5.1
"Prince Edward Island","  Oceania and other places of birth",70,40,35,0.6,0.7,0.6
"Prince Edward Island","Total - Place of birth for the recent immigrant population in private households - 25% sample data",4860,2450,2410,100,100,100
"Prince Edward Island","  Americas",465,210,250,9.6,8.6,10.4
"Prince Edward Island","    Brazil",50,30,20,1,1.2,0.8
"Prince Edward Island","    Colombia",35,15,25,0.7,0.6,1
"Prince Edward Island","    Haiti",0,0,0,0,0,0
"Prince Edward Island","    Jamaica",110,45,60,2.3,1.8,2.5
"Prince Edward Island","    Mexico",30,10,15,0.6,0.4,0.6
"Prince Edward Island","    United States of America",140,45,95,2.9,1.8,3.9
"Prince Edward Island","    Venezuela",0,0,0,0,0,0
"Prince Edward Island","    Other places of birth in Americas",100,60,35,2.1,2.4,1.5
"Prince Edward Island","  Europe",445,210,230,9.2,8.6,9.5
"Prince Edward Island","    France",45,25,15,0.9,1,0.6
"Prince Edward Island","    Germany",0,0,0,0,0,0
"Prince Edward Island","    Ireland",15,10,10,0.3,0.4,0.4
"Prince Edward Island","    Italy",35,10,20,0.7,0.4,0.8
"Prince Edward Island","    Russian Federation",45,20,30,0.9,0.8,1.2
"Prince Edward Island","    Ukraine",35,20,15,0.7,0.8,0.6
"Prince Edward Island","    United Kingdom",130,65,70,2.7,2.7,2.9
"Prince Edward Island","    Other places of birth in Europe",135,70,70,2.8,2.9,2.9
"Prince Edward Island","  Africa",270,135,130,5.6,5.5,5.4
"Prince Edward Island","    Algeria",0,0,0,0,0,0
"Prince Edward Island","    Burundi",0,0,0,0,0,0
"Prince Edward Island","    Cameroon",0,0,0,0,0,0
"Prince Edward Island","    Congo, Democratic Republic of the",0,0,0,0,0,0
"Prince Edward Island","    Cote d'Ivoire",0,0,0,0,0,0
"Prince Edward Island","    Egypt",30,20,15,0.6,0.8,0.6
"Prince Edward Island","    Eritrea",0,0,0,0,0,0
"Prince Edward Island","    Ethiopia",0,0,0,0,0,0
"Prince Edward Island","    Morocco",10,0,10,0.2,0,0.4
"Prince Edward Island","    Nigeria",85,40,45,1.7,1.6,1.9
"Prince Edward Island","    Somalia",0,0,0,0,0,0
"Prince Edward Island","    South Africa, Republic of",30,10,15,0.6,0.4,0.6
"Prince Edward Island","    Sudan",0,0,0,0,0,0
"Prince Edward Island","    Tunisia",0,0,0,0,0,0
"Prince Edward Island","    Other places of birth in Africa",65,40,25,1.3,1.6,1
"Prince Edward Island","  Asia",3660,1880,1780,75.3,76.7,73.9
"Prince Edward Island","    Afghanistan",0,0,0,0,0,0
"Prince Edward Island","    Bangladesh",50,25,20,1,1,0.8
"Prince Edward Island","    China",1170,595,575,24.1,24.3,23.9
"Prince Edward Island","    Hong Kong",70,45,30,1.4,1.8,1.2
"Prince Edward Island","    India",665,390,280,13.7,15.9,11.6
"Prince Edward Island","    Iran",10,0,10,0.2,0,0.4
"Prince Edward Island","    Iraq",40,25,15,0.8,1,0.6
"Prince Edward Island","    Israel",10,10,0,0.2,0.4,0
"Prince Edward Island","    Japan",0,0,0,0,0,0
"Prince Edward Island","    Jordan",20,15,0,0.4,0.6,0
"Prince Edward Island","    Korea, South",0,0,0,0,0,0
"Prince Edward Island","    Lebanon",30,20,0,0.6,0.8,0
"Prince Edward Island","    Nepal",20,10,10,0.4,0.4,0.4
"Prince Edward Island","    Pakistan",15,10,0,0.3,0.4,0
