ref_date,region,num_deaths
"1955-10-01 00:00:00","New Brunswick",1154
"1955-10-01 00:00:00",Quebec,8446
"1955-10-01 00:00:00",Ontario,11562
"1955-10-01 00:00:00",Manitoba,1774
"1955-10-01 00:00:00",Saskatchewan,1669
"1955-10-01 00:00:00",Alberta,1990
"1955-10-01 00:00:00","British Columbia",3250
"1955-10-01 00:00:00",Yukon,20
"1955-10-01 00:00:00","Northwest Territories including Nunavut",71
"1956-01-01 00:00:00",Canada,33793
"1956-01-01 00:00:00","Newfoundland and Labrador",822
"1956-01-01 00:00:00","Prince Edward Island",233
"1956-01-01 00:00:00","Nova Scotia",1504
"1956-01-01 00:00:00","New Brunswick",1189
"1956-01-01 00:00:00",Quebec,8427
"1956-01-01 00:00:00",Ontario,12567
"1956-01-01 00:00:00",Manitoba,1795
"1956-01-01 00:00:00",Saskatchewan,1668
"1956-01-01 00:00:00",Alberta,2042
"1956-01-01 00:00:00","British Columbia",3449
"1956-01-01 00:00:00",Yukon,20
"1956-01-01 00:00:00","Northwest Territories including Nunavut",77
"1956-04-01 00:00:00",Canada,33181
"1956-04-01 00:00:00","Newfoundland and Labrador",738
"1956-04-01 00:00:00","Prince Edward Island",233
"1956-04-01 00:00:00","Nova Scotia",1414
"1956-04-01 00:00:00","New Brunswick",1177
"1956-04-01 00:00:00",Quebec,9115
"1956-04-01 00:00:00",Ontario,11718
"1956-04-01 00:00:00",Manitoba,1795
"1956-04-01 00:00:00",Saskatchewan,1695
"1956-04-01 00:00:00",Alberta,1938
"1956-04-01 00:00:00","British Columbia",3265
"1956-04-01 00:00:00",Yukon,23
"1956-04-01 00:00:00","Northwest Territories including Nunavut",70
"1956-07-01 00:00:00",Canada,31110
"1956-07-01 00:00:00","Newfoundland and Labrador",679
"1956-07-01 00:00:00","Prince Edward Island",231
"1956-07-01 00:00:00","Nova Scotia",1295
"1956-07-01 00:00:00","New Brunswick",1077
"1956-07-01 00:00:00",Quebec,8451
"1956-07-01 00:00:00",Ontario,11006
"1956-07-01 00:00:00",Manitoba,1646
"1956-07-01 00:00:00",Saskatchewan,1561
"1956-07-01 00:00:00",Alberta,1844
"1956-07-01 00:00:00","British Columbia",3219
"1956-07-01 00:00:00",Yukon,25
"1956-07-01 00:00:00","Northwest Territories including Nunavut",76
"1956-10-01 00:00:00",Canada,33877
"1956-10-01 00:00:00","Newfoundland and Labrador",819
"1956-10-01 00:00:00","Prince Edward Island",236
"1956-10-01 00:00:00","Nova Scotia",1525
"1956-10-01 00:00:00","New Brunswick",1215
"1956-10-01 00:00:00",Quebec,9049
"1956-10-01 00:00:00",Ontario,11940
"1956-10-01 00:00:00",Manitoba,1822
"1956-10-01 00:00:00",Saskatchewan,1742
"1956-10-01 00:00:00",Alberta,1962
"1956-10-01 00:00:00","British Columbia",3482
"1956-10-01 00:00:00",Yukon,17
"1956-10-01 00:00:00","Northwest Territories including Nunavut",68
"1957-01-01 00:00:00",Canada,33914
"1957-01-01 00:00:00","Newfoundland and Labrador",819
"1957-01-01 00:00:00","Prince Edward Island",231
"1957-01-01 00:00:00","Nova Scotia",1558
"1957-01-01 00:00:00","New Brunswick",1190
"1957-01-01 00:00:00",Quebec,9062
"1957-01-01 00:00:00",Ontario,12102
"1957-01-01 00:00:00",Manitoba,1780
"1957-01-01 00:00:00",Saskatchewan,1645
"1957-01-01 00:00:00",Alberta,1955
"1957-01-01 00:00:00","British Columbia",3479
"1957-01-01 00:00:00",Yukon,21
"1957-01-01 00:00:00","Northwest Territories including Nunavut",72
"1957-04-01 00:00:00",Canada,33219
"1957-04-01 00:00:00","Newfoundland and Labrador",683
"1957-04-01 00:00:00","Prince Edward Island",236
"1957-04-01 00:00:00","Nova Scotia",1425
"1957-04-01 00:00:00","New Brunswick",1144
"1957-04-01 00:00:00",Quebec,9102
"1957-04-01 00:00:00",Ontario,11908
"1957-04-01 00:00:00",Manitoba,1813
"1957-04-01 00:00:00",Saskatchewan,1619
"1957-04-01 00:00:00",Alberta,2024
"1957-04-01 00:00:00","British Columbia",3162
"1957-04-01 00:00:00",Yukon,19
