ref_date,region,num_births
"1952-10-01 00:00:00",Quebec,29307
"1952-10-01 00:00:00",Ontario,30172
"1952-10-01 00:00:00",Manitoba,4921
"1952-10-01 00:00:00",Saskatchewan,5428
"1952-10-01 00:00:00",Alberta,7064
"1952-10-01 00:00:00","British Columbia",7323
"1952-10-01 00:00:00",Yukon,113
"1952-10-01 00:00:00","Northwest Territories including Nunavut",145
"1953-01-01 00:00:00",Canada,99549
"1953-01-01 00:00:00","Newfoundland and Labrador",3237
"1953-01-01 00:00:00","Prince Edward Island",624
"1953-01-01 00:00:00","Nova Scotia",4234
"1953-01-01 00:00:00","New Brunswick",3935
"1953-01-01 00:00:00",Quebec,30856
"1953-01-01 00:00:00",Ontario,31044
"1953-01-01 00:00:00",Manitoba,4902
"1953-01-01 00:00:00",Saskatchewan,5506
"1953-01-01 00:00:00",Alberta,7428
"1953-01-01 00:00:00","British Columbia",7493
"1953-01-01 00:00:00",Yukon,102
"1953-01-01 00:00:00","Northwest Territories including Nunavut",188
"1953-04-01 00:00:00",Canada,107886
"1953-04-01 00:00:00","Newfoundland and Labrador",3129
"1953-04-01 00:00:00","Prince Edward Island",749
"1953-04-01 00:00:00","Nova Scotia",4569
"1953-04-01 00:00:00","New Brunswick",4132
"1953-04-01 00:00:00",Quebec,34535
"1953-04-01 00:00:00",Ontario,32602
"1953-04-01 00:00:00",Manitoba,5572
"1953-04-01 00:00:00",Saskatchewan,6082
"1953-04-01 00:00:00",Alberta,8170
"1953-04-01 00:00:00","British Columbia",8092
"1953-04-01 00:00:00",Yukon,99
"1953-04-01 00:00:00","Northwest Territories including Nunavut",155
"1953-07-01 00:00:00",Canada,108888
"1953-07-01 00:00:00","Newfoundland and Labrador",3468
"1953-07-01 00:00:00","Prince Edward Island",722
"1953-07-01 00:00:00","Nova Scotia",4983
"1953-07-01 00:00:00","New Brunswick",4376
"1953-07-01 00:00:00",Quebec,32734
"1953-07-01 00:00:00",Ontario,34029
"1953-07-01 00:00:00",Manitoba,5687
"1953-07-01 00:00:00",Saskatchewan,6315
"1953-07-01 00:00:00",Alberta,8112
"1953-07-01 00:00:00","British Columbia",8199
"1953-07-01 00:00:00",Yukon,100
"1953-07-01 00:00:00","Northwest Territories including Nunavut",163
"1953-10-01 00:00:00",Canada,101561
"1953-10-01 00:00:00","Newfoundland and Labrador",2963
"1953-10-01 00:00:00","Prince Edward Island",642
"1953-10-01 00:00:00","Nova Scotia",4490
"1953-10-01 00:00:00","New Brunswick",4015
"1953-10-01 00:00:00",Quebec,30594
"1953-10-01 00:00:00",Ontario,32096
"1953-10-01 00:00:00",Manitoba,5081
"1953-10-01 00:00:00",Saskatchewan,5800
"1953-10-01 00:00:00",Alberta,7666
"1953-10-01 00:00:00","British Columbia",7962
"1953-10-01 00:00:00",Yukon,82
"1953-10-01 00:00:00","Northwest Territories including Nunavut",170
"1954-01-01 00:00:00",Canada,105338
"1954-01-01 00:00:00","Newfoundland and Labrador",3513
"1954-01-01 00:00:00","Prince Edward Island",640
"1954-01-01 00:00:00","Nova Scotia",4490
"1954-01-01 00:00:00","New Brunswick",3780
"1954-01-01 00:00:00",Quebec,32578
"1954-01-01 00:00:00",Ontario,32688
"1954-01-01 00:00:00",Manitoba,5426
"1954-01-01 00:00:00",Saskatchewan,5964
"1954-01-01 00:00:00",Alberta,8051
"1954-01-01 00:00:00","British Columbia",7915
"1954-01-01 00:00:00",Yukon,115
"1954-01-01 00:00:00","Northwest Territories including Nunavut",178
"1954-04-01 00:00:00",Canada,112916
"1954-04-01 00:00:00","Newfoundland and Labrador",3478
"1954-04-01 00:00:00","Prince Edward Island",752
"1954-04-01 00:00:00","Nova Scotia",4870
"1954-04-01 00:00:00","New Brunswick",4347
"1954-04-01 00:00:00",Quebec,35392
"1954-04-01 00:00:00",Ontario,34356
"1954-04-01 00:00:00",Manitoba,5693
"1954-04-01 00:00:00",Saskatchewan,6519
"1954-04-01 00:00:00",Alberta,8719
"1954-04-01 00:00:00","British Columbia",8532
"1954-04-01 00:00:00",Yukon,111
"1954-04-01 00:00:00","Northwest Territories including Nunavut",147
"1954-07-01 00:00:00",Canada,112845
"1954-07-01 00:00:00","Newfoundland and Labrador",3437
"1954-07-01 00:00:00","Prince Edward Island",691
"1954-07-01 00:00:00","Nova Scotia",4883
"1954-07-01 00:00:00","New Brunswick",4356
"1954-07-01 00:00:00",Quebec,34107
"1954-07-01 00:00:00",Ontario,35526
"1954-07-01 00:00:00",Manitoba,5726
"1954-07-01 00:00:00",Saskatchewan,6484
"1954-07-01 00:00:00",Alberta,8822
"1954-07-01 00:00:00","British Columbia",8557
"1954-07-01 00:00:00",Yukon,97
"1954-07-01 00:00:00","Northwest Territories including Nunavut",159
"1954-10-01 00:00:00",Canada,105099
"1954-10-01 00:00:00","Newfoundland and Labrador",3225
"1954-10-01 00:00:00","Prince Edward Island",641
"1954-10-01 00:00:00","Nova Scotia",4666
"1954-10-01 00:00:00","New Brunswick",4166
"1954-10-01 00:00:00",Quebec,31101
"1954-10-01 00:00:00",Ontario,33691
"1954-10-01 00:00:00",Manitoba,5403
"1954-10-01 00:00:00",Saskatchewan,6014
"1954-10-01 00:00:00",Alberta,8001
"1954-10-01 00:00:00","British Columbia",7942
"1954-10-01 00:00:00",Yukon,102
"1954-10-01 00:00:00","Northwest Territories including Nunavut",147
"1955-01-01 00:00:00",Canada,107963
"1955-01-01 00:00:00","Newfoundland and Labrador",3709
"1955-01-01 00:00:00","Prince Edward Island",645
"1955-01-01 00:00:00","Nova Scotia",4650
"1955-01-01 00:00:00","New Brunswick",4008
"1955-01-01 00:00:00",Quebec,32875
"1955-01-01 00:00:00",Ontario,33951
"1955-01-01 00:00:00",Manitoba,5412
"1955-01-01 00:00:00",Saskatchewan,5992
"1955-01-01 00:00:00",Alberta,8240
"1955-01-01 00:00:00","British Columbia",8144
"1955-01-01 00:00:00",Yukon,132
"1955-01-01 00:00:00","Northwest Territories including Nunavut",205
"1955-04-01 00:00:00",Canada,116024
"1955-04-01 00:00:00","Newfoundland and Labrador",3670
"1955-04-01 00:00:00","Prince Edward Island",710
"1955-04-01 00:00:00","Nova Scotia",4783
"1955-04-01 00:00:00","New Brunswick",4304
"1955-04-01 00:00:00",Quebec,36079
"1955-04-01 00:00:00",Ontario,36161
"1955-04-01 00:00:00",Manitoba,5817
"1955-04-01 00:00:00",Saskatchewan,6528
"1955-04-01 00:00:00",Alberta,8933
"1955-04-01 00:00:00","British Columbia",8744
"1955-04-01 00:00:00",Yukon,140
"1955-04-01 00:00:00","Northwest Territories including Nunavut",155
"1955-07-01 00:00:00",Canada,113204
"1955-07-01 00:00:00","Newfoundland and Labrador",3925
"1955-07-01 00:00:00","Prince Edward Island",723
"1955-07-01 00:00:00","Nova Scotia",4976
"1955-07-01 00:00:00","New Brunswick",4248
"1955-07-01 00:00:00",Quebec,33425
"1955-07-01 00:00:00",Ontario,35552
"1955-07-01 00:00:00",Manitoba,5801
"1955-07-01 00:00:00",Saskatchewan,6450
"1955-07-01 00:00:00",Alberta,8972
"1955-07-01 00:00:00","British Columbia",8825
"1955-07-01 00:00:00",Yukon,118
"1955-07-01 00:00:00","Northwest Territories including Nunavut",189
"1955-10-01 00:00:00",Canada,105746
"1955-10-01 00:00:00","Newfoundland and Labrador",3453
"1955-10-01 00:00:00","Prince Edward Island",706
"1955-10-01 00:00:00","Nova Scotia",4558
"1955-10-01 00:00:00","New Brunswick",4049
"1955-10-01 00:00:00",Quebec,30993
"1955-10-01 00:00:00",Ontario,33890
"1955-10-01 00:00:00",Manitoba,5367
"1955-10-01 00:00:00",Saskatchewan,5776
"1955-10-01 00:00:00",Alberta,8212
"1955-10-01 00:00:00","British Columbia",8425
"1955-10-01 00:00:00",Yukon,134
"1955-10-01 00:00:00","Northwest Territories including Nunavut",183
"1956-01-01 00:00:00",Canada,108574
"1956-01-01 00:00:00","Newfoundland and Labrador",3548
"1956-01-01 00:00:00","Prince Edward Island",623
"1956-01-01 00:00:00","Nova Scotia",4580
"1956-01-01 00:00:00","New Brunswick",3837
"1956-01-01 00:00:00",Quebec,32576
"1956-01-01 00:00:00",Ontario,34810
"1956-01-01 00:00:00",Manitoba,5378
"1956-01-01 00:00:00",Saskatchewan,5827
"1956-01-01 00:00:00",Alberta,8543
"1956-01-01 00:00:00","British Columbia",8539
"1956-01-01 00:00:00",Yukon,122
"1956-01-01 00:00:00","Northwest Territories including Nunavut",191
"1956-04-01 00:00:00",Canada,114498
"1956-04-01 00:00:00","Newfoundland and Labrador",3640
"1956-04-01 00:00:00","Prince Edward Island",721
"1956-04-01 00:00:00","Nova Scotia",4898
"1956-04-01 00:00:00","New Brunswick",4285
"1956-04-01 00:00:00",Quebec,35164
"1956-04-01 00:00:00",Ontario,35411
"1956-04-01 00:00:00",Manitoba,5663
"1956-04-01 00:00:00",Saskatchewan,6157
"1956-04-01 00:00:00",Alberta,9010
"1956-04-01 00:00:00","British Columbia",9236
"1956-04-01 00:00:00",Yukon,107
"1956-04-01 00:00:00","Northwest Territories including Nunavut",206
"1956-07-01 00:00:00",Canada,117992
"1956-07-01 00:00:00","Newfoundland and Labrador",3765
"1956-07-01 00:00:00","Prince Edward Island",682
"1956-07-01 00:00:00","Nova Scotia",4920
"1956-07-01 00:00:00","New Brunswick",4372
"1956-07-01 00:00:00",Quebec,35125
"1956-07-01 00:00:00",Ontario,37867
"1956-07-01 00:00:00",Manitoba,5790
"1956-07-01 00:00:00",Saskatchewan,6405
"1956-07-01 00:00:00",Alberta,9074
"1956-07-01 00:00:00","British Columbia",9660
"1956-07-01 00:00:00",Yukon,140
"1956-07-01 00:00:00","Northwest Territories including Nunavut",192
"1956-10-01 00:00:00",Canada,109675
"1956-10-01 00:00:00","Newfoundland and Labrador",3588
"1956-10-01 00:00:00","Prince Edward Island",631
"1956-10-01 00:00:00","Nova Scotia",4708
"1956-10-01 00:00:00","New Brunswick",4079
"1956-10-01 00:00:00",Quebec,33019
"1956-10-01 00:00:00",Ontario,35428
"1956-10-01 00:00:00",Manitoba,5114
"1956-10-01 00:00:00",Saskatchewan,5670
"1956-10-01 00:00:00",Alberta,8324
"1956-10-01 00:00:00","British Columbia",8806
"1956-10-01 00:00:00",Yukon,112
"1956-10-01 00:00:00","Northwest Territories including Nunavut",196
"1957-01-01 00:00:00",Canada,111143
"1957-01-01 00:00:00","Newfoundland and Labrador",3584
"1957-01-01 00:00:00","Prince Edward Island",588
"1957-01-01 00:00:00","Nova Scotia",4525
"1957-01-01 00:00:00","New Brunswick",3895
"1957-01-01 00:00:00",Quebec,34137
"1957-01-01 00:00:00",Ontario,35806
"1957-01-01 00:00:00",Manitoba,5278
"1957-01-01 00:00:00",Saskatchewan,5585
"1957-01-01 00:00:00",Alberta,8452
"1957-01-01 00:00:00","British Columbia",8953
"1957-01-01 00:00:00",Yukon,100
"1957-01-01 00:00:00","Northwest Territories including Nunavut",240
"1957-04-01 00:00:00",Canada,123887
"1957-04-01 00:00:00","Newfoundland and Labrador",3795
"1957-04-01 00:00:00","Prince Edward Island",736
"1957-04-01 00:00:00","Nova Scotia",5061
"1957-04-01 00:00:00","New Brunswick",4470
"1957-04-01 00:00:00",Quebec,39034
"1957-04-01 00:00:00",Ontario,38948
"1957-04-01 00:00:00",Manitoba,5908
"1957-04-01 00:00:00",Saskatchewan,6440
"1957-04-01 00:00:00",Alberta,9246
"1957-04-01 00:00:00","British Columbia",9902
