ref_date,region,destination,num_people,region_pop,percent_of_region_pop,destination_pop,percent_of_destination_pop
"1972-01-01 00:00:00","British Columbia, province of origin","Newfoundland and Labrador, province of destination",82,2278085,0.0036,535736,0.0153
"1972-01-01 00:00:00","British Columbia, province of origin","Northwest Territories including Nunavut, province of destination",226,2278085,0.0099,37835,0.5973
"1972-01-01 00:00:00","British Columbia, province of origin","Nova Scotia, province of destination",227,2278085,0.0100,800513,0.0284
"1972-01-01 00:00:00","British Columbia, province of origin","Ontario, province of destination",2222,2278085,0.0975,7906337,0.0281
"1972-01-01 00:00:00","British Columbia, province of origin","Prince Edward Island, province of destination",22,2278085,0.0010,112964,0.0195
"1972-01-01 00:00:00","British Columbia, province of origin","Quebec, province of destination",527,2278085,0.0231,6152950,0.0086
"1972-01-01 00:00:00","British Columbia, province of origin","Saskatchewan, province of destination",760,2278085,0.0334,923123,0.0823
"1972-01-01 00:00:00","British Columbia, province of origin","Yukon, province of destination",145,2278085,0.0064,19723,0.7352
"1972-01-01 00:00:00","Manitoba, province of origin","Alberta, province of destination",1456,998910,0.1458,1679985,0.0867
"1972-01-01 00:00:00","Manitoba, province of origin","British Columbia, province of destination",1460,998910,0.1462,2278085,0.0641
"1972-01-01 00:00:00","Manitoba, province of origin","New Brunswick, province of destination",118,998910,0.0118,646337,0.0183
"1972-01-01 00:00:00","Manitoba, province of origin","Newfoundland and Labrador, province of destination",56,998910,0.0056,535736,0.0105
"1972-01-01 00:00:00","Manitoba, province of origin","Northwest Territories including Nunavut, province of destination",41,998910,0.0041,37835,0.1084
"1972-01-01 00:00:00","Manitoba, province of origin","Nova Scotia, province of destination",82,998910,0.0082,800513,0.0102
"1972-01-01 00:00:00","Manitoba, province of origin","Ontario, province of destination",1991,998910,0.1993,7906337,0.0252
"1972-01-01 00:00:00","Manitoba, province of origin","Prince Edward Island, province of destination",54,998910,0.0054,112964,0.0478
"1972-01-01 00:00:00","Manitoba, province of origin","Quebec, province of destination",457,998910,0.0457,6152950,0.0074
"1972-01-01 00:00:00","Manitoba, province of origin","Saskatchewan, province of destination",970,998910,0.0971,923123,0.1051
"1972-01-01 00:00:00","Manitoba, province of origin","Yukon, province of destination",26,998910,0.0026,19723,0.1318
"1972-01-01 00:00:00","New Brunswick, province of origin","Alberta, province of destination",164,646337,0.0254,1679985,0.0098
"1972-01-01 00:00:00","New Brunswick, province of origin","British Columbia, province of destination",193,646337,0.0299,2278085,0.0085
"1972-01-01 00:00:00","New Brunswick, province of origin","Manitoba, province of destination",65,646337,0.0101,998910,0.0065
"1972-01-01 00:00:00","New Brunswick, province of origin","Newfoundland and Labrador, province of destination",200,646337,0.0309,535736,0.0373
"1972-01-01 00:00:00","New Brunswick, province of origin","Northwest Territories including Nunavut, province of destination",5,646337,0.0008,37835,0.0132
"1972-01-01 00:00:00","New Brunswick, province of origin","Nova Scotia, province of destination",493,646337,0.0763,800513,0.0616
"1972-01-01 00:00:00","New Brunswick, province of origin","Ontario, province of destination",1243,646337,0.1923,7906337,0.0157
"1972-01-01 00:00:00","New Brunswick, province of origin","Prince Edward Island, province of destination",120,646337,0.0186,112964,0.1062
"1972-01-01 00:00:00","New Brunswick, province of origin","Quebec, province of destination",726,646337,0.1123,6152950,0.0118
"1972-01-01 00:00:00","New Brunswick, province of origin","Saskatchewan, province of destination",33,646337,0.0051,923123,0.0036
"1972-01-01 00:00:00","New Brunswick, province of origin","Yukon, province of destination",4,646337,0.0006,19723,0.0203
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","Alberta, province of destination",74,535736,0.0138,1679985,0.0044
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","British Columbia, province of destination",95,535736,0.0177,2278085,0.0042
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","Manitoba, province of destination",36,535736,0.0067,998910,0.0036
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","New Brunswick, province of destination",214,535736,0.0399,646337,0.0331
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","Northwest Territories including Nunavut, province of destination",4,535736,0.0007,37835,0.0106
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","Nova Scotia, province of destination",265,535736,0.0495,800513,0.0331
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","Ontario, province of destination",1318,535736,0.2460,7906337,0.0167
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","Prince Edward Island, province of destination",30,535736,0.0056,112964,0.0266
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","Quebec, province of destination",285,535736,0.0532,6152950,0.0046
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","Saskatchewan, province of destination",18,535736,0.0034,923123,0.0019
"1972-01-01 00:00:00","Newfoundland and Labrador, province of origin","Yukon, province of destination",3,535736,0.0006,19723,0.0152
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","Alberta, province of destination",291,37835,0.7691,1679985,0.0173
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","British Columbia, province of destination",291,37835,0.7691,2278085,0.0128
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","Manitoba, province of destination",40,37835,0.1057,998910,0.0040
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","New Brunswick, province of destination",6,37835,0.0159,646337,0.0009
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","Newfoundland and Labrador, province of destination",7,37835,0.0185,535736,0.0013
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","Nova Scotia, province of destination",0,37835,0.0000,800513,0.0000
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","Ontario, province of destination",54,37835,0.1427,7906337,0.0007
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","Prince Edward Island, province of destination",1,37835,0.0026,112964,0.0009
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","Quebec, province of destination",39,37835,0.1031,6152950,0.0006
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","Saskatchewan, province of destination",23,37835,0.0608,923123,0.0025
"1972-01-01 00:00:00","Northwest Territories including Nunavut, province of origin","Yukon, province of destination",0,37835,0.0000,19723,0.0000
"1972-01-01 00:00:00","Nova Scotia, province of origin","Alberta, province of destination",308,800513,0.0385,1679985,0.0183
"1972-01-01 00:00:00","Nova Scotia, province of origin","British Columbia, province of destination",519,800513,0.0648,2278085,0.0228
"1972-01-01 00:00:00","Nova Scotia, province of origin","Manitoba, province of destination",133,800513,0.0166,998910,0.0133
"1972-01-01 00:00:00","Nova Scotia, province of origin","New Brunswick, province of destination",684,800513,0.0854,646337,0.1058
"1972-01-01 00:00:00","Nova Scotia, province of origin","Newfoundland and Labrador, province of destination",326,800513,0.0407,535736,0.0609
"1972-01-01 00:00:00","Nova Scotia, province of origin","Northwest Territories including Nunavut, province of destination",16,800513,0.0020,37835,0.0423
