CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1605,  Americas,,154490,,74275,,80215,,11.6,,11.5,,11.7,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1606,    Brazil,,19895,,9340,,10560,,1.5,,1.4,,1.5,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1607,    Colombia,,11455,,5090,,6365,,0.9,,0.8,,0.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1608,    Haiti,,10550,,5155,,5400,,0.8,,0.8,,0.8,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1609,    Jamaica,,15155,,7740,,7420,,1.1,,1.2,,1.1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1610,    Mexico,,17150,,8405,,8745,,1.3,,1.3,,1.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1611,    United States of America,,39875,,19790,,20085,,3,,3.1,,2.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1612,    Venezuela,95,7060,,2980,,4075,,0.5,,0.5,,0.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1613,    Other places of birth in Americas,,33350,,15785,,17570,,2.5,,2.4,,2.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1614,  Europe,,134425,,69310,,65120,,10.1,,10.7,,9.5,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1615,    France,,27175,,14560,,12610,,2,,2.3,,1.8,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1616,    Germany,,5365,,2660,,2705,,0.4,,0.4,,0.4,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1617,    Ireland,96,6355,,4000,,2350,,0.5,,0.6,,0.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1618,    Italy,,4240,,2470,,1770,,0.3,,0.4,,0.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1619,    Russian Federation,,10905,,4335,,6570,,0.8,,0.7,,1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1620,    Ukraine,,14515,,6570,,7945,,1.1,,1,,1.2,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1621,    United Kingdom,87,22755,,13550,,9200,,1.7,,2.1,,1.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1622,    Other places of birth in Europe,,43120,,21160,,21960,,3.2,,3.3,,3.2,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1623,  Africa,,206965,,102875,,104090,,15.6,,16,,15.2,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1624,    Algeria,,15745,,7530,,8220,,1.2,,1.2,,1.2,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1625,    Burundi,,4935,,2420,,2510,,0.4,,0.4,,0.4,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1626,    Cameroon,,11795,,5545,,6250,,0.9,,0.9,,0.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1627,"    Congo, Democratic Republic of the",,8915,,4200,,4720,,0.7,,0.7,,0.7,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1628,    Cote d'Ivoire,,7915,,3795,,4125,,0.6,,0.6,,0.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1629,    Egypt,,12120,,6285,,5835,,0.9,,1,,0.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1630,    Eritrea,,16330,,8755,,7575,,1.2,,1.4,,1.1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1631,    Ethiopia,,9385,,4415,,4970,,0.7,,0.7,,0.7,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1632,    Morocco,,12835,,6025,,6810,,1,,0.9,,1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1633,    Nigeria,,40360,,20575,,19780,,3,,3.2,,2.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1634,    Somalia,,6315,,3240,,3075,,0.5,,0.5,,0.4,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1635,"    South Africa, Republic of",,8510,,4290,,4220,,0.6,,0.7,,0.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1636,    Sudan,97,4690,,2375,,2315,,0.4,,0.4,,0.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1637,    Tunisia,,8155,,4185,,3975,,0.6,,0.6,,0.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1638,    Other places of birth in Africa,,38960,,19250,,19715,,2.9,,3,,2.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1639,  Asia,,823205,,393110,,430090,,62,,61,,62.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1640,    Afghanistan,,12730,,6290,,6440,,1,,1,,0.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1641,    Bangladesh,,13185,,6670,,6515,,1,,1,,1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1642,    China,90,118035,,50365,,67665,,8.9,,7.8,,9.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1643,    Hong Kong,91,6495,,2880,,3620,,0.5,,0.4,,0.5,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1644,    India,,246995,,128205,,118790,,18.6,,19.9,,17.4,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1645,    Iran,88,25650,,12310,,13340,,1.9,,1.9,,2,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1646,    Iraq,,17715,,8835,,8875,,1.3,,1.4,,1.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1647,    Israel,,4850,,2565,,2290,,0.4,,0.4,,0.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1648,    Japan,,4445,,1035,,3410,,0.3,,0.2,,0.5,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1649,    Jordan,,4635,,2375,,2260,,0.3,,0.4,,0.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1650,"    Korea, South",92,20985,,8790,,12200,,1.6,,1.4,,1.8,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1651,    Lebanon,,9980,,5120,,4860,,0.8,,0.8,,0.7,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1652,    Nepal,,4890,,2475,,2415,,0.4,,0.4,,0.4,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1653,    Pakistan,,36255,,18070,,18190,,2.7,,2.8,,2.7,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1654,    Philippines,,151490,,66720,,84765,,11.4,,10.3,,12.4,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1655,    Saudi Arabia,,9560,,5195,,4365,,0.7,,0.8,,0.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1656,    Sri Lanka,,8480,,4010,,4465,,0.6,,0.6,,0.7,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1657,    Syria,89,63130,,32725,,30410,,4.8,,5.1,,4.5,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1658,    Turkey,,10150,,5520,,4635,,0.8,,0.9,,0.7,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1659,    United Arab Emirates,,8405,,4325,,4085,,0.6,,0.7,,0.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1660,    Viet Nam,,14725,,5605,,9125,,1.1,,0.9,,1.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1661,    Other places of birth in Asia,,30410,,13035,,17375,,2.3,,2,,2.5,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1662,  Oceania and other,93,9160,,5335,,3825,,0.7,,0.8,,0.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1663,    Australia,,6535,,3845,,2685,,0.5,,0.6,,0.4,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1664,    Other places of birth,98,2625,,1490,,1135,,0.2,,0.2,,0.2,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1545,  Americas,,2345,,1110,,1235,,16.5,,15.3,,17.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1546,    Brazil,,90,,40,,50,,0.6,,0.6,,0.7,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1547,    Colombia,,145,,70,,75,,1,,1,,1.1,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1548,    El Salvador,,30,,15,,20,,0.2,,0.2,,0.3,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1549,    Guyana,,20,,10,,10,,0.1,,0.1,,0.1,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1550,    Haiti,,10,,10,,0,,0.1,,0.1,,0,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1551,    Jamaica,,220,,100,,125,,1.5,,1.4,,1.8,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1552,    Mexico,,25,,15,,15,,0.2,,0.2,,0.2,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1553,    Peru,,20,,10,,15,,0.1,,0.1,,0.2,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1554,    Trinidad and Tobago,,65,,25,,35,,0.5,,0.3,,0.5,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1555,    United States of America,,1390,,695,,690,,9.8,,9.6,,9.8,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1556,    Other places of birth in Americas,,325,,130,,200,,2.3,,1.8,,2.9,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1557,  Europe,,4290,,2340,,1945,,30.1,,32.3,,27.7,
